Borough,Neighborhood,Venue_name,Venue_id,Venue_lat,Venue_lng,PriceTier,LikesCount,Dislike,Rating,BeenHereCount,PhotosCount,ReasonsCount,TipsCount
Brooklyn,Bay Ridge,Sofia's,4be80d54aecb76b015a35a80,40.62486246513639,-74.03040528433142,3,3,False,0.0,0,2,0,1
Brooklyn,Bay Ridge,Baci,5ce87094c4df1d002c9e1564,40.624347,-74.030761,0,0,False,0.0,0,0,0,0
Brooklyn,Bay Ridge,Patsy’s Pizzeria,5a1f25cca6031c51c794041f,40.621632,-74.03179499999997,0,3,False,0.0,0,14,0,10
Brooklyn,Bay Ridge,A&S Italian Food Store,4c1bb8dbeac020a1815445c2,40.621261,-74.02677,0,0,False,0.0,0,4,0,3
Brooklyn,Bay Ridge,SUBWAY,4bf40b41ff90c9b6c5c05428,40.63135400050057,-74.02788215663766,0,0,False,6.6,0,4,0,2
Brooklyn,Bay Ridge,Piccante,5ad10209f1936e242c6d2978,40.633034,-74.02728,0,3,False,0.0,0,1,0,1
Brooklyn,Bay Ridge,Mocha Mocha Cafe,4d98831fdaec224bfb214a3e,40.622698950866365,-74.02863621711731,0,49,False,6.3,0,112,1,38
Brooklyn,Bensonhurst,il Colosseo,4ae23a80f964a5200c8c21e3,40.612220535596755,-73.9974361996248,2,30,False,7.6,0,25,0,22
Brooklyn,Bensonhurst,Villabate Alba,4bb9145f314e9521a51e499d,40.61617575118333,-73.99315065794524,1,158,False,9.3,0,132,1,48
Brooklyn,Bensonhurst,Villa Fiorita,4e30a139483bb3fdc436a7e3,40.611931,-73.997854,0,3,False,8.0,0,1,0,4
Brooklyn,Bensonhurst,Panino Rustico,4e073239cc3f1ed1312dce37,40.61040974446632,-74.00310285413347,1,45,False,8.7,0,78,1,18
Brooklyn,Bensonhurst,Papa Pasquale,4c0791492e80a593eabf75f9,40.61553666625415,-74.00513683801918,0,12,False,8.2,0,5,0,5
Brooklyn,Bensonhurst,Grotta Azzurra,4c09a291bbc676b08e9b48d5,40.603611,-73.99538100000002,0,5,False,7.9,0,4,0,5
Brooklyn,Bensonhurst,Torre's Pizzeria & Italian Restaurant,4bc24df84cdfc9b627f39521,40.61194499127096,-73.98347741444184,0,5,False,6.9,0,8,0,8
Brooklyn,Bensonhurst,Lioni Italian Heroes,4d9e2667a695721e121c220d,40.615756874597686,-74.00489937881197,2,79,False,9.1,0,60,1,27
Brooklyn,Bensonhurst,C & C Catering Service,4c781d873badb1f7e7b04a54,40.612373,-73.99661400000002,0,2,False,0.0,0,0,0,2
Brooklyn,Bensonhurst,Avon,4ea5d2bae5fa0cc4c36970cc,40.61480331420898,-73.99495697021484,0,0,False,0.0,0,0,0,0
Brooklyn,Bensonhurst,gus' american grill,54283a47498e82f0e3b156af,40.618061,-73.999539,0,7,False,7.3,0,8,0,3
Brooklyn,Bensonhurst,Galici Eatery,57e9af5a498ee2339f657eec,40.616154,-74.0005,0,1,False,0.0,0,0,0,1
Brooklyn,Bensonhurst,La Cucina,4ef37813e300e92b9eeab847,40.606803,-74.00282299999998,0,0,False,0.0,0,0,0,0
Brooklyn,Bensonhurst,Lioni's,4cc45fc8be40a35d1a1d7e4c,40.61581949266226,-74.00490585216033,0,0,False,0.0,0,3,0,4
Brooklyn,Bensonhurst,Lorenzo's pizza,53bece4d498ebb075bda706c,40.60853576660156,-74.00485229492188,0,3,False,0.0,0,1,0,0
Brooklyn,Bensonhurst,Lioni Mozzarella,4b6777e7f964a520d1502be3,40.615751986692686,-74.0048867716719,0,2,False,0.0,0,14,0,0
